date,mep
2020-09-14,121.3
2020-09-15,121.7
2020-09-16,126.84
2020-09-17,126.41
2020-09-18,128.7
2020-09-21,132.01
2020-09-22,132.56
2020-09-23,139.21
2020-09-24,133.8
2020-09-25,133.75
2020-09-28,138.6
2020-09-29,138.64
2020-09-30,139.4
2020-10-01,137.1
2020-10-02,139.63
2020-10-05,144.18
2020-10-06,143.98
2020-10-07,141.02
2020-10-08,139.25
2020-10-09,142.47
2020-10-13,143.75
2020-10-14,150.57
2020-10-15,157.72
2020-10-16,154.26
2020-10-19,153.94
2020-10-20,149.46
2020-10-21,166.84
2020-10-22,166.31
2020-10-23,162.85
2020-10-26,158.14
2020-10-27,153.32
2020-10-28,146.85
2020-10-29,145.32
2020-10-30,143.62
2020-11-02,140.76
2020-11-03,142.01
2020-11-04,141.31
2020-11-05,143.61
2020-11-09,141.87
2020-11-10,142.78
2020-11-11,143.94
2020-11-12,142.26
2020-11-13,139.8
2020-11-16,143.15
2020-11-17,144.56
2020-11-18,146.26
2020-11-19,145.31
2020-11-20,147.37
2020-11-24,147.2
2020-11-25,145.58
2020-11-26,146.16
2020-11-27,145.6
2020-11-30,144.05
2020-12-01,145.19
2020-12-02,146.3
2020-12-03,142.44
2020-12-04,140.79
2020-12-09,140.83
2020-12-10,137.0
2020-12-11,138.32
2020-12-14,140.79
2020-12-15,139.13
2020-12-16,140.85
2020-12-17,140.4
2020-12-18,140.37
2020-12-21,139.73
2020-12-22,137.57
2020-12-23,142.41
2020-12-28,138.59
2020-12-29,139.34
2020-12-30,140.03
2021-01-04,142.88
2021-01-05,143.53
2021-01-06,144.67
2021-01-07,145.12
2021-01-08,146.99
2021-01-11,146.8
2021-01-12,145.52
2021-01-13,144.79
2021-01-14,146.39
2021-01-15,145.67
2021-01-18,146.04
2021-01-19,146.18
2021-01-20,145.89
2021-01-21,145.95
2021-01-22,146.18
2021-01-25,146.63
2021-01-26,146.91
2021-01-27,147.26
2021-01-28,148.1
2021-01-29,148.24
2021-02-01,148.14
2021-02-02,149.08
2021-02-03,149.27
2021-02-04,149.96
2021-02-05,149.97
2021-02-08,149.47
2021-02-09,149.61
2021-02-10,149.93
2021-02-11,145.39
2021-02-12,146.55
2021-02-17,143.09
2021-02-18,140.56
2021-02-19,139.74
2021-02-22,137.66
2021-02-23,138.51
2021-02-24,141.51
2021-02-25,143.68
2021-02-26,142.97
2021-03-01,143.57
2021-03-02,145.05
2021-03-03,146.71
2021-03-04,145.19
2021-03-05,144.79
2021-03-08,144.61
2021-03-09,143.93
2021-03-10,142.23
2021-03-11,143.56
2021-03-12,143.46
2021-03-15,143.86
2021-03-16,144.72
2021-03-17,145.81
2021-03-18,144.78
