Ticker,Precio,Low,High,Change (%),RS 20D,Credit Stress,Market Cap,P/E,Forward P/E,P/Book,ROE,ROA,Operating Margin,Net Margin,FCF Yield,EV/EBITDA,Debt/Equity,Current Ratio,Piotroski,Fund Source,Grain_IS,ZC_Surprise,ZS_Surprise,SPX_Quarterly_Divisor,SPX_ROC_63d,z_MOVE_inv,MOVE_price,Earnings_Next_Date,Earnings_Days_To_Next,Earnings_Last_Date,Earnings_Days_Since,Earnings_Source,piotroski_roa_positive,piotroski_d_roa,piotroski_cfo_positive,piotroski_cfo_gt_ni,piotroski_d_leverage,piotroski_d_liquidity,piotroski_no_dilution,piotroski_d_margin,piotroski_d_turnover,roc_5d,roc_10d,roc_42d,roc_63d,vol_5d,vol_60d,high_20d,high_60d,high_252d,drawdown_20d,drawdown_60d,drawdown_252d
^GSPC,7477.43994140625,7468.60986328125,7513.22998046875,0.26,5.08,BAJO,,,,,,,,,,,,,,NONE,2.051,3.2229,1.2698,0.06384,4.9309,0.211,70.88,,999,,,none,,,,,,,,,,-0.5043,-0.7959,1.0049,,10.4716,12.8811,7575.3901,7609.7798,,-1.293,-1.7391,
^DJI,51983.609375,51953.26171875,52411.8984375,-0.31,5.04,BAJO,,,,,,,,,,,,,,NONE,2.051,3.2229,1.2698,0.06384,4.9309,0.211,70.88,,999,,,none,,,,,,,,,,-0.981,-2.0211,4.624,,6.9083,11.8289,53055.9102,53055.9102,,-2.0211,-2.0211,
^IXIC,25659.185546875,25599.0546875,25815.599609375,0.54,5.04,BAJO,,,,,,,,,,,,,,NONE,2.051,3.2229,1.2698,0.06384,4.9309,0.211,70.88,,999,,,none,,,,,,,,,,-0.8271,-1.7686,-1.654,,18.5161,20.5887,26281.6094,27093.9004,,-2.3683,-5.2953,
^RUT,2956.577880859375,2956.176513671875,2978.09375,-0.19,5.76,BAJO,,,,,,,,,,,,,,NONE,2.051,3.2229,1.2698,0.06384,4.9309,0.211,70.88,,999,,,none,,,,,,,,,,0.1154,-1.7598,6.5395,,5.3716,18.4676,3024.3701,3024.3701,,-2.2415,-2.2415,
^VIX,18.389999389648438,17.6200008392334,18.940000534057617,-2.02,-2.64,BAJO,,,,,,,,,,,,,,NONE,2.051,3.2229,1.2698,0.06384,4.9309,0.211,70.88,,999,,,none,,,,,,,,,,7.1678,18.1118,1.8272,-2.5437,125.808,128.2663,19.49,22.22,,-5.6439,-17.2367,
^MOVE,70.87999725341797,68.16000366210938,70.87999725341797,3.99,4.29,BAJO,,,,,,,,,,,,,,NONE,2.051,3.2229,1.2698,0.06384,4.9309,0.211,70.88,,999,,,none,,,,,,,,,,1.9123,8.3792,-11.2558,,84.8528,77.8638,77.77,86.07,,-8.8595,-17.6484,
^TNX,4.579999923706055,4.559999942779541,4.584000110626221,0.86,7.67,BAJO,,,,,,,,,,,,,,NONE,2.051,3.2229,1.2698,0.06384,4.9309,0.211,70.88,,999,,,none,,,,,,,,,,-0.6292,2.255,-0.9301,,13.4409,15.0569,4.609,4.667,,-0.6292,-1.8642,
^IRX,3.7130000591278076,3.7029998302459717,3.7179999351501465,0.16,3.1,BAJO,,,,,,,,,,,,,,NONE,2.051,3.2229,1.2698,0.06384,4.9309,0.211,70.88,,999,,,none,,,,,,,,,,-0.4024,0.6233,4.0639,,4.4251,7.0844,3.732,3.732,,-0.5091,-0.5091,
DX-Y.NYB,100.91100311279297,100.6500015258789,100.9489974975586,0.16,2.82,BAJO,,,,,,,,,,,,,,NONE,2.051,3.2229,1.2698,0.06384,4.9309,0.211,70.88,,999,,,none,,,,,,,,,,-0.3643,0.0605,1.9612,,4.7459,4.6642,101.61,101.61,,-0.6879,-0.6879,
^N225,64141.12109375,62704.6015625,66441.7734375,-4.03,9.59,BAJO,,,,,,,,,,,,,,NONE,2.051,3.2229,1.2698,0.06384,4.9309,0.211,70.88,,999,,,none,,,,,,,,,,-6.4422,-8.0336,7.2515,,42.5272,33.1449,72366.3438,72366.3438,,-11.3661,-11.3661,
