Ticker,Precio,Cierre_Confirmado,Fecha_Cierre_Confirmado,Precio_Es_Intradiario,Low,High,Change (%),RS 20D,Credit Stress,Market Cap,P/E,Forward P/E,P/Book,ROE,ROA,Operating Margin,Net Margin,FCF Yield,EV/EBITDA,Debt/Equity,Current Ratio,Piotroski,Fund Source,Grain_IS,ZC_Surprise,ZS_Surprise,SPX_Quarterly_Divisor,SPX_ROC_63d,z_MOVE_inv,MOVE_price,Earnings_Next_Date,Earnings_Days_To_Next,Earnings_Last_Date,Earnings_Days_Since,Earnings_Source,piotroski_roa_positive,piotroski_d_roa,piotroski_cfo_positive,piotroski_cfo_gt_ni,piotroski_d_leverage,piotroski_d_liquidity,piotroski_no_dilution,piotroski_d_margin,piotroski_d_turnover,roc_5d,roc_10d,roc_42d,roc_63d,vol_5d,vol_60d,high_20d,high_60d,high_252d,drawdown_20d,drawdown_60d,drawdown_252d
^GSPC,7704.1298828125,7704.1299,2026-09-24,False,7662.56982421875,7719.009765625,-0.02,4.3,MODERADO,,,,,,,,,,,,,,NONE,-0.3358,-0.4539,-0.257,0.055908,4.701,-3.3145,104.58,,999,,,none,,,,,,,,,,2.017,0.8875,3.9416,,14.8755,11.2445,7764.7002,7798.9902,,-0.7801,-1.2163,
^DJI,51349.98046875,51349.9805,2026-09-24,False,51124.01953125,51485.96875,-0.31,-1.51,MODERADO,,,,,,,,,,,,,,NONE,-0.3358,-0.4539,-0.257,0.055908,4.701,-3.3145,104.58,,999,,,none,,,,,,,,,,-0.2175,-1.9677,-1.1498,,11.3404,11.9605,53686.1094,54349.1211,,-4.3515,-5.5183,
^IXIC,26939.373046875,26939.373,2026-09-24,False,26706.138671875,26971.041015625,0.01,5.82,MODERADO,,,,,,,,,,,,,,NONE,-0.3358,-0.4539,-0.257,0.055908,4.701,-3.3145,104.58,,999,,,none,,,,,,,,,,3.699,2.6131,7.8618,,19.9851,17.2669,27122.0898,27122.0898,,-0.6737,-0.6737,
^RUT,2835.57421875,2835.5742,2026-09-24,False,2810.7509765625,2838.625244140625,-0.11,-6.14,MODERADO,,,,,,,,,,,,,,NONE,-0.3358,-0.4539,-0.257,0.055908,4.701,-3.3145,104.58,,999,,,none,,,,,,,,,,-0.8128,-2.9325,-3.2227,,11.9467,13.2868,3014.3401,3068.4199,,-5.9305,-7.5885,
^VIX,15.670000076293945,15.67,2026-09-24,False,15.34000015258789,16.56999969482422,3.23,-16.3,MODERADO,,,,,,,,,,,,,,NONE,-0.3358,-0.4539,-0.257,0.055908,4.701,-3.3145,104.58,,999,,,none,,,,,,,,,,-11.5189,-4.7995,-16.0686,-17.0461,50.9539,101.3168,17.84,20.66,,-12.1637,-24.153,
^MOVE,104.58049774169922,104.5805,2026-09-24,False,95.45269775390625,104.58049774169922,9.57,55.44,MODERADO,,,,,,,,,,,,,,NONE,-0.3358,-0.4539,-0.257,0.055908,4.701,-3.3145,104.58,,999,,,none,,,,,,,,,,29.5435,36.279,36.1371,,112.7011,79.4237,104.5805,104.5805,,0.0,0.0,
^TNX,5.161999702453613,5.162,2026-09-24,False,5.086999893188477,5.181000232696533,0.94,16.85,MODERADO,,,,,,,,,,,,,,NONE,-0.3358,-0.4539,-0.257,0.055908,4.701,-3.3145,104.58,,999,,,none,,,,,,,,,,3.1163,6.719,10.3227,17.2649,24.3235,14.4633,5.162,5.162,,0.0,0.0,
^IRX,4.067999839782715,4.068,2026-09-24,False,4.0279998779296875,4.072000026702881,0.99,9.83,MODERADO,,,,,,,,,,,,,,NONE,-0.3358,-0.4539,-0.257,0.055908,4.701,-3.3145,104.58,,999,,,none,,,,,,,,,,2.4685,6.912,6.912,10.2439,8.0862,11.5039,4.068,4.068,,0.0,0.0,
DX-Y.NYB,101.24800109863281,101.248,2026-09-24,False,101.0009994506836,101.39800262451172,0.15,-0.77,MODERADO,,,,,,,,,,,,,,NONE,-0.3358,-0.4539,-0.257,0.055908,4.701,-3.3145,104.58,,999,,,none,,,,,,,,,,0.9351,2.5089,-0.2188,-0.3563,4.571,4.8502,101.248,101.51,,0.0,-0.2581,
^N225,65018.94921875,65018.9492,2026-09-18,False,64403.8515625,65436.5703125,1.38,-6.42,MODERADO,,,,,,,,,,,,,,NONE,-0.3358,-0.4539,-0.257,0.055908,4.701,-3.3145,104.58,,999,,,none,,,,,,,,,,1.5741,-0.0031,-1.8318,,9.4311,28.5359,66405.5625,72366.3438,,-2.0881,-10.1531,
